Date,Ticker,Company,Sector,Open,High,Low,Close,Volume,Source
2020-01-27,AAPL,Apple Inc.,Technology,73.64,74.82,73.06,73.73,16559935,Kaggle_TechStocks_Dataset
2020-01-28,AAPL,Apple Inc.,Technology,72.38,73.31,71.59,72.55,42557352,Kaggle_TechStocks_Dataset
2020-01-29,AAPL,Apple Inc.,Technology,70.89,71.39,70.37,70.73,47410911,Kaggle_TechStocks_Dataset
2020-01-30,AAPL,Apple Inc.,Technology,72.62,73.7,71.51,72.62,44357900,Kaggle_TechStocks_Dataset
2020-01-31,AAPL,Apple Inc.,Technology,72.05,73.47,71.68,72.35,37214281,Kaggle_TechStocks_Dataset
2020-02-03,AAPL,Apple Inc.,Technology,72.26,72.75,71.5,72.46,14595769,Kaggle_TechStocks_Dataset
2020-02-04,AAPL,Apple Inc.,Technology,70.75,71.51,70.09,70.62,14799186,Kaggle_TechStocks_Dataset
2020-02-05,AAPL,Apple Inc.,Technology,69.65,70.2,68.87,69.95,48204655,Kaggle_TechStocks_Dataset
2020-02-06,AAPL,Apple Inc.,Technology,70.36,71.18,68.96,70.11,1503940,Kaggle_TechStocks_Dataset
2020-02-07,AAPL,Apple Inc.,Technology,68.68,69.61,68.5,68.68,36086448,Kaggle_TechStocks_Dataset
2020-02-10,AAPL,Apple Inc.,Technology,69.16,70.5,67.92,69.17,35606061,Kaggle_TechStocks_Dataset
2020-02-11,AAPL,Apple Inc.,Technology,68.5,68.6,67.73,68.44,31511787,Kaggle_TechStocks_Dataset
2020-02-12,AAPL,Apple Inc.,Technology,68.32,68.24,67.02,68.1,49515333,Kaggle_TechStocks_Dataset
2020-02-13,AAPL,Apple Inc.,Technology,67.28,67.81,66.08,67.38,16282092,Kaggle_TechStocks_Dataset
2020-02-14,AAPL,Apple Inc.,Technology,69.77,70.07,68.3,69.65,17658621,Kaggle_TechStocks_Dataset
2020-02-17,AAPL,Apple Inc.,Technology,69.7,70.05,68.49,69.65,4868030,Kaggle_TechStocks_Dataset
2020-02-18,AAPL,Apple Inc.,Technology,68.18,69.59,68.1,68.34,22697108,Kaggle_TechStocks_Dataset
2020-02-19,AAPL,Apple Inc.,Technology,69.63,69.77,68.35,69.37,13791377,Kaggle_TechStocks_Dataset
2020-02-20,AAPL,Apple Inc.,Technology,68.07,68.29,67.74,67.87,17825948,Kaggle_TechStocks_Dataset
2020-02-21,AAPL,Apple Inc.,Technology,68.26,69.2,67.54,68.15,41894017,Kaggle_TechStocks_Dataset
2020-02-24,AAPL,Apple Inc.,Technology,66.0,66.4,65.0,65.77,46838741,Kaggle_TechStocks_Dataset
2020-02-25,AAPL,Apple Inc.,Technology,64.46,65.23,63.64,64.22,10100920,Kaggle_TechStocks_Dataset
2020-02-26,AAPL,Apple Inc.,Technology,64.6,64.61,63.81,64.47,19252937,Kaggle_TechStocks_Dataset
2020-02-27,AAPL,Apple Inc.,Technology,65.57,66.02,64.99,65.35,46502897,Kaggle_TechStocks_Dataset
2020-02-28,AAPL,Apple Inc.,Technology,65.7,65.68,64.61,65.57,4028614,Kaggle_TechStocks_Dataset
2020-03-02,AAPL,Apple Inc.,Technology,65.57,65.59,64.58,65.45,5525665,Kaggle_TechStocks_Dataset
2020-03-03,AAPL,Apple Inc.,Technology,65.19,66.3,64.91,65.11,8976758,Kaggle_TechStocks_Dataset
2020-03-04,AAPL,Apple Inc.,Technology,63.56,63.63,63.27,63.4,30165428,Kaggle_TechStocks_Dataset
2020-03-05,AAPL,Apple Inc.,Technology,62.39,63.3,62.41,62.6,8373141,Kaggle_TechStocks_Dataset
2020-03-06,AAPL,Apple Inc.,Technology,62.34,62.65,61.35,62.1,48435742,Kaggle_TechStocks_Dataset
2020-03-09,AAPL,Apple Inc.,Technology,63.54,63.78,62.97,63.3,22889011,Kaggle_TechStocks_Dataset
2020-03-10,AAPL,Apple Inc.,Technology,63.41,64.86,63.01,63.71,25574380,Kaggle_TechStocks_Dataset
2020-03-11,AAPL,Apple Inc.,Technology,61.91,61.8,61.06,61.71,13086272,Kaggle_TechStocks_Dataset
2020-03-12,AAPL,Apple Inc.,Technology,61.86,62.94,61.09,62.09,24077052,Kaggle_TechStocks_Dataset
2020-03-13,AAPL,Apple Inc.,Technology,61.58,62.87,61.14,61.68,33433767,Kaggle_TechStocks_Dataset
2020-03-16,AAPL,Apple Inc.,Technology,61.1,61.66,59.95,60.95,37807679,Kaggle_TechStocks_Dataset
2020-03-17,AAPL,Apple Inc.,Technology,61.43,62.8,60.8,61.64,37939536,Kaggle_TechStocks_Dataset
2020-03-18,AAPL,Apple Inc.,Technology,63.0,62.93,62.56,62.8,29316664,Kaggle_TechStocks_Dataset
2020-03-19,AAPL,Apple Inc.,Technology,64.08,64.44,62.84,63.87,45313628,Kaggle_TechStocks_Dataset
2020-03-20,AAPL,Apple Inc.,Technology,62.92,63.29,61.75,62.92,41052984,Kaggle_TechStocks_Dataset
2020-03-23,AAPL,Apple Inc.,Technology,62.28,63.52,61.42,62.59,38095357,Kaggle_TechStocks_Dataset
2020-03-24,AAPL,Apple Inc.,Technology,62.85,64.22,62.85,62.98,3724670,Kaggle_TechStocks_Dataset
2020-03-25,AAPL,Apple Inc.,Technology,64.17,64.48,63.44,64.1,1337020,Kaggle_TechStocks_Dataset
2020-03-26,AAPL,Apple Inc.,Technology,63.88,64.42,62.79,63.57,11409916,Kaggle_TechStocks_Dataset
2020-03-27,AAPL,Apple Inc.,Technology,63.46,63.68,63.09,63.38,33512656,Kaggle_TechStocks_Dataset
2020-03-30,AAPL,Apple Inc.,Technology,61.99,62.87,61.88,62.14,21148676,Kaggle_TechStocks_Dataset
2020-03-31,AAPL,Apple Inc.,Technology,60.9,61.42,59.99,60.82,20717906,Kaggle_TechStocks_Dataset
2020-04-01,AAPL,Apple Inc.,Technology,61.75,62.93,61.31,61.73,44344757,Kaggle_TechStocks_Dataset
2020-04-02,AAPL,Apple Inc.,Technology,63.44,64.05,62.92,63.26,44882579,Kaggle_TechStocks_Dataset
2020-04-03,AAPL,Apple Inc.,Technology,62.95,63.68,62.72,63.2,45549587,Kaggle_TechStocks_Dataset
2020-04-06,AAPL,Apple Inc.,Technology,64.53,64.56,63.26,64.36,16380025,Kaggle_TechStocks_Dataset
2020-04-07,AAPL,Apple Inc.,Technology,64.83,65.05,64.58,64.8,34861734,Kaggle_TechStocks_Dataset
2020-04-08,AAPL,Apple Inc.,Technology,64.37,64.41,63.44,64.07,14310025,Kaggle_TechStocks_Dataset
2020-04-09,AAPL,Apple Inc.,Technology,64.41,64.88,63.57,64.51,10339881,Kaggle_TechStocks_Dataset
2020-04-10,AAPL,Apple Inc.,Technology,66.41,67.46,65.53,66.32,10046990,Kaggle_TechStocks_Dataset
2020-04-13,AAPL,Apple Inc.,Technology,66.59,67.07,65.02,66.3,17763273,Kaggle_TechStocks_Dataset
2020-04-14,AAPL,Apple Inc.,Technology,67.92,68.94,66.99,68.19,22067923,Kaggle_TechStocks_Dataset
2020-04-15,AAPL,Apple Inc.,Technology,65.27,65.2,64.64,64.99,41716509,Kaggle_TechStocks_Dataset
2020-04-16,AAPL,Apple Inc.,Technology,66.09,67.11,64.65,65.97,6874663,Kaggle_TechStocks_Dataset
2020-04-17,AAPL,Apple Inc.,Technology,65.8,67.06,65.29,66.09,37011366,Kaggle_TechStocks_Dataset
2020-04-20,AAPL,Apple Inc.,Technology,65.62,65.9,65.09,65.75,27041290,Kaggle_TechStocks_Dataset
2020-04-21,AAPL,Apple Inc.,Technology,66.02,66.83,64.63,65.88,15109321,Kaggle_TechStocks_Dataset
2020-04-22,AAPL,Apple Inc.,Technology,63.27,64.26,63.44,63.54,25148159,Kaggle_TechStocks_Dataset
2020-04-23,AAPL,Apple Inc.,Technology,63.36,63.47,62.32,63.31,15697161,Kaggle_TechStocks_Dataset
2020-04-24,AAPL,Apple Inc.,Technology,63.64,64.36,62.83,63.74,30208015,Kaggle_TechStocks_Dataset
2020-04-27,AAPL,Apple Inc.,Technology,65.53,66.12,64.52,65.45,22258352,Kaggle_TechStocks_Dataset
2020-04-28,AAPL,Apple Inc.,Technology,64.57,65.13,63.85,64.86,9055870,Kaggle_TechStocks_Dataset
2020-04-29,AAPL,Apple Inc.,Technology,64.18,65.15,62.66,63.94,6712570,Kaggle_TechStocks_Dataset
2020-04-30,AAPL,Apple Inc.,Technology,63.68,64.47,62.99,63.38,27788088,Kaggle_TechStocks_Dataset
2020-05-01,AAPL,Apple Inc.,Technology,64.74,65.32,64.33,64.44,45218238,Kaggle_TechStocks_Dataset
2020-05-04,AAPL,Apple Inc.,Technology,65.0,65.47,63.82,64.84,17853926,Kaggle_TechStocks_Dataset
2020-05-05,AAPL,Apple Inc.,Technology,64.0,64.81,63.76,64.24,36917005,Kaggle_TechStocks_Dataset
2020-05-06,AAPL,Apple Inc.,Technology,65.02,65.72,64.47,64.85,33274406,Kaggle_TechStocks_Dataset
2020-05-07,AAPL,Apple Inc.,Technology,64.67,65.72,64.73,64.98,46646190,Kaggle_TechStocks_Dataset
2020-05-08,AAPL,Apple Inc.,Technology,65.81,66.27,65.34,66.13,41228069,Kaggle_TechStocks_Dataset
2020-05-11,AAPL,Apple Inc.,Technology,65.19,66.01,64.38,65.31,28763657,Kaggle_TechStocks_Dataset
2020-05-12,AAPL,Apple Inc.,Technology,64.93,66.0,64.04,64.94,33194494,Kaggle_TechStocks_Dataset
2020-05-13,AAPL,Apple Inc.,Technology,64.67,65.13,64.08,64.5,45020936,Kaggle_TechStocks_Dataset
2020-05-14,AAPL,Apple Inc.,Technology,62.94,62.94,62.54,62.82,20576420,Kaggle_TechStocks_Dataset
2020-05-15,AAPL,Apple Inc.,Technology,63.14,64.18,62.12,63.17,17012940,Kaggle_TechStocks_Dataset
2020-05-18,AAPL,Apple Inc.,Technology,63.35,63.8,62.67,63.49,1529743,Kaggle_TechStocks_Dataset
2020-05-19,AAPL,Apple Inc.,Technology,63.83,63.89,63.33,63.51,41501002,Kaggle_TechStocks_Dataset
2020-05-20,AAPL,Apple Inc.,Technology,63.21,63.52,62.96,63.26,40248054,Kaggle_TechStocks_Dataset
2020-05-21,AAPL,Apple Inc.,Technology,61.64,62.12,61.59,61.67,6118271,Kaggle_TechStocks_Dataset
2020-05-22,AAPL,Apple Inc.,Technology,61.01,62.16,60.87,61.22,29266011,Kaggle_TechStocks_Dataset
2020-05-25,AAPL,Apple Inc.,Technology,61.04,61.52,60.1,60.86,23735103,Kaggle_TechStocks_Dataset
2020-05-26,AAPL,Apple Inc.,Technology,60.12,60.29,59.47,60.0,6816745,Kaggle_TechStocks_Dataset
2020-05-27,AAPL,Apple Inc.,Technology,59.67,60.9,59.39,59.84,49047843,Kaggle_TechStocks_Dataset
2020-05-28,AAPL,Apple Inc.,Technology,60.04,61.36,59.17,60.29,11520098,Kaggle_TechStocks_Dataset
2020-05-29,AAPL,Apple Inc.,Technology,62.47,63.45,61.76,62.36,4294474,Kaggle_TechStocks_Dataset
2020-06-01,AAPL,Apple Inc.,Technology,62.67,62.92,62.16,62.57,30147521,Kaggle_TechStocks_Dataset
2020-06-02,AAPL,Apple Inc.,Technology,62.74,63.48,61.82,62.88,37204467,Kaggle_TechStocks_Dataset
2020-06-03,AAPL,Apple Inc.,Technology,63.09,64.05,62.49,62.81,2589728,Kaggle_TechStocks_Dataset
2020-06-04,AAPL,Apple Inc.,Technology,60.45,61.61,60.12,60.66,33277164,Kaggle_TechStocks_Dataset
2020-06-05,AAPL,Apple Inc.,Technology,60.61,60.74,60.53,60.65,27082301,Kaggle_TechStocks_Dataset
2020-06-08,AAPL,Apple Inc.,Technology,61.0,60.87,59.56,60.73,6059985,Kaggle_TechStocks_Dataset
2020-06-09,AAPL,Apple Inc.,Technology,63.39,64.06,62.49,63.44,9453669,Kaggle_TechStocks_Dataset
2020-06-10,AAPL,Apple Inc.,Technology,63.33,64.4,62.7,63.24,28830740,Kaggle_TechStocks_Dataset
2020-06-11,AAPL,Apple Inc.,Technology,63.53,64.31,62.69,63.6,15521523,Kaggle_TechStocks_Dataset
2020-06-12,AAPL,Apple Inc.,Technology,63.44,64.24,63.17,63.58,46977470,Kaggle_TechStocks_Dataset
2020-06-15,AAPL,Apple Inc.,Technology,62.56,62.45,61.91,62.26,41118271,Kaggle_TechStocks_Dataset
2020-06-16,AAPL,Apple Inc.,Technology,63.5,64.42,62.41,63.56,49194793,Kaggle_TechStocks_Dataset
2020-06-17,AAPL,Apple Inc.,Technology,64.69,65.51,63.78,64.44,13723871,Kaggle_TechStocks_Dataset
2020-06-18,AAPL,Apple Inc.,Technology,65.2,65.92,64.7,65.38,48516458,Kaggle_TechStocks_Dataset
2020-06-19,AAPL,Apple Inc.,Technology,64.15,65.34,63.49,64.33,22130459,Kaggle_TechStocks_Dataset
2020-06-22,AAPL,Apple Inc.,Technology,65.66,67.24,65.82,65.97,18028420,Kaggle_TechStocks_Dataset
2020-06-23,AAPL,Apple Inc.,Technology,64.43,64.64,64.05,64.33,3467126,Kaggle_TechStocks_Dataset
2020-06-24,AAPL,Apple Inc.,Technology,64.94,65.74,64.59,65.03,3585497,Kaggle_TechStocks_Dataset
2020-06-25,AAPL,Apple Inc.,Technology,67.86,68.05,67.18,67.61,34908551,Kaggle_TechStocks_Dataset
2020-06-26,AAPL,Apple Inc.,Technology,66.4,67.49,65.67,66.42,23438520,Kaggle_TechStocks_Dataset
2020-06-29,AAPL,Apple Inc.,Technology,66.07,66.55,65.6,65.76,12099559,Kaggle_TechStocks_Dataset
2020-06-30,AAPL,Apple Inc.,Technology,65.69,66.76,65.45,65.9,31084545,Kaggle_TechStocks_Dataset
2020-07-01,AAPL,Apple Inc.,Technology,65.56,66.38,64.92,65.32,13390047,Kaggle_TechStocks_Dataset
2020-07-02,AAPL,Apple Inc.,Technology,63.7,64.06,63.29,63.52,29303955,Kaggle_TechStocks_Dataset
2020-07-03,AAPL,Apple Inc.,Technology,63.79,64.79,62.68,63.62,18601228,Kaggle_TechStocks_Dataset
2020-07-06,AAPL,Apple Inc.,Technology,62.64,63.11,62.13,62.42,41354059,Kaggle_TechStocks_Dataset
2020-07-07,AAPL,Apple Inc.,Technology,63.13,63.22,61.94,62.97,41214111,Kaggle_TechStocks_Dataset
2020-07-08,AAPL,Apple Inc.,Technology,62.03,62.83,61.12,61.95,24390169,Kaggle_TechStocks_Dataset
2020-07-09,AAPL,Apple Inc.,Technology,63.47,64.72,62.83,63.7,18190136,Kaggle_TechStocks_Dataset
2020-07-10,AAPL,Apple Inc.,Technology,62.53,63.26,62.73,62.82,18765430,Kaggle_TechStocks_Dataset
2020-07-13,AAPL,Apple Inc.,Technology,62.73,63.55,62.24,62.47,40480011,Kaggle_TechStocks_Dataset
2020-07-14,AAPL,Apple Inc.,Technology,63.47,64.55,62.98,63.4,17080794,Kaggle_TechStocks_Dataset
2020-07-15,AAPL,Apple Inc.,Technology,62.19,62.4,61.63,62.01,11243909,Kaggle_TechStocks_Dataset
2020-07-16,AAPL,Apple Inc.,Technology,62.27,63.51,61.7,62.28,5149728,Kaggle_TechStocks_Dataset
2020-07-17,AAPL,Apple Inc.,Technology,63.52,63.99,63.63,63.76,23867962,Kaggle_TechStocks_Dataset
2020-07-20,AAPL,Apple Inc.,Technology,61.7,62.23,61.28,61.93,24624472,Kaggle_TechStocks_Dataset
2020-07-21,AAPL,Apple Inc.,Technology,62.27,62.43,61.36,62.15,42204526,Kaggle_TechStocks_Dataset
2020-07-22,AAPL,Apple Inc.,Technology,62.42,63.58,61.4,62.46,11840696,Kaggle_TechStocks_Dataset
2020-07-23,AAPL,Apple Inc.,Technology,63.17,64.21,63.04,63.36,19668572,Kaggle_TechStocks_Dataset
2020-07-24,AAPL,Apple Inc.,Technology,61.96,62.21,61.6,61.97,40611881,Kaggle_TechStocks_Dataset
2020-07-27,AAPL,Apple Inc.,Technology,60.26,61.09,59.75,60.52,41357556,Kaggle_TechStocks_Dataset
2020-07-28,AAPL,Apple Inc.,Technology,61.16,61.89,59.92,61.11,19845942,Kaggle_TechStocks_Dataset
2020-07-29,AAPL,Apple Inc.,Technology,61.32,61.62,61.21,61.46,23497077,Kaggle_TechStocks_Dataset
2020-07-30,AAPL,Apple Inc.,Technology,61.94,62.86,60.54,61.76,15861008,Kaggle_TechStocks_Dataset
2020-07-31,AAPL,Apple Inc.,Technology,62.04,63.17,61.75,62.16,46695189,Kaggle_TechStocks_Dataset
2020-08-03,AAPL,Apple Inc.,Technology,61.39,62.07,61.32,61.42,6813544,Kaggle_TechStocks_Dataset
2020-08-04,AAPL,Apple Inc.,Technology,61.4,62.9,60.98,61.7,46753721,Kaggle_TechStocks_Dataset
2020-08-05,AAPL,Apple Inc.,Technology,61.77,62.59,61.08,62.04,34509456,Kaggle_TechStocks_Dataset
2020-08-06,AAPL,Apple Inc.,Technology,61.19,62.47,60.86,61.26,27047035,Kaggle_TechStocks_Dataset
2020-08-07,AAPL,Apple Inc.,Technology,63.33,64.21,63.06,63.34,2600293,Kaggle_TechStocks_Dataset
2020-08-10,AAPL,Apple Inc.,Technology,63.96,64.73,63.29,63.9,24304213,Kaggle_TechStocks_Dataset
2020-08-11,AAPL,Apple Inc.,Technology,62.42,62.81,62.45,62.55,20979657,Kaggle_TechStocks_Dataset
2020-08-12,AAPL,Apple Inc.,Technology,63.43,64.43,62.11,63.31,8899721,Kaggle_TechStocks_Dataset
2020-08-13,AAPL,Apple Inc.,Technology,62.44,62.79,61.57,62.22,33164070,Kaggle_TechStocks_Dataset
2020-08-14,AAPL,Apple Inc.,Technology,63.3,63.38,62.72,63.12,48586394,Kaggle_TechStocks_Dataset
2020-08-17,AAPL,Apple Inc.,Technology,64.16,64.54,64.23,64.46,28547251,Kaggle_TechStocks_Dataset
2020-08-18,AAPL,Apple Inc.,Technology,63.52,64.27,62.48,63.53,36022910,Kaggle_TechStocks_Dataset
2020-08-19,AAPL,Apple Inc.,Technology,64.39,65.36,64.34,64.65,4354072,Kaggle_TechStocks_Dataset
2020-08-20,AAPL,Apple Inc.,Technology,64.98,66.11,64.53,65.15,21465682,Kaggle_TechStocks_Dataset
2020-08-21,AAPL,Apple Inc.,Technology,66.45,67.31,65.31,66.13,6701565,Kaggle_TechStocks_Dataset
2020-08-24,AAPL,Apple Inc.,Technology,68.17,68.58,67.21,68.41,31026995,Kaggle_TechStocks_Dataset
2020-08-25,AAPL,Apple Inc.,Technology,68.13,69.15,67.89,68.13,46985625,Kaggle_TechStocks_Dataset
2020-08-26,AAPL,Apple Inc.,Technology,67.31,67.54,66.09,67.23,33427108,Kaggle_TechStocks_Dataset
2020-08-27,AAPL,Apple Inc.,Technology,66.3,67.32,65.24,66.17,4763349,Kaggle_TechStocks_Dataset
2020-08-28,AAPL,Apple Inc.,Technology,65.26,66.3,64.28,65.22,18378644,Kaggle_TechStocks_Dataset
2020-08-31,AAPL,Apple Inc.,Technology,64.83,65.88,64.93,65.15,27982505,Kaggle_TechStocks_Dataset
2020-09-01,AAPL,Apple Inc.,Technology,65.46,66.52,65.1,65.57,20757180,Kaggle_TechStocks_Dataset
2020-09-02,AAPL,Apple Inc.,Technology,65.93,66.38,65.6,65.92,41848556,Kaggle_TechStocks_Dataset
2020-09-03,AAPL,Apple Inc.,Technology,66.64,67.59,65.9,66.92,40918879,Kaggle_TechStocks_Dataset
2020-09-04,AAPL,Apple Inc.,Technology,66.86,68.07,66.42,66.96,30979719,Kaggle_TechStocks_Dataset
2020-09-07,AAPL,Apple Inc.,Technology,68.41,69.4,68.1,68.73,19299439,Kaggle_TechStocks_Dataset
2020-09-08,AAPL,Apple Inc.,Technology,68.13,68.95,68.13,68.42,13511482,Kaggle_TechStocks_Dataset
2020-09-09,AAPL,Apple Inc.,Technology,71.72,72.54,71.59,71.79,6187841,Kaggle_TechStocks_Dataset
2020-09-10,AAPL,Apple Inc.,Technology,72.35,73.84,71.18,72.62,18389986,Kaggle_TechStocks_Dataset
2020-09-11,AAPL,Apple Inc.,Technology,71.57,72.05,71.01,71.52,21245453,Kaggle_TechStocks_Dataset
2020-09-14,AAPL,Apple Inc.,Technology,70.29,70.46,68.83,70.16,34115323,Kaggle_TechStocks_Dataset
2020-09-15,AAPL,Apple Inc.,Technology,71.0,71.82,70.11,70.79,33249831,Kaggle_TechStocks_Dataset
2020-09-16,AAPL,Apple Inc.,Technology,70.32,71.71,69.5,70.53,4435298,Kaggle_TechStocks_Dataset
2020-09-17,AAPL,Apple Inc.,Technology,71.22,71.67,70.45,71.46,20367706,Kaggle_TechStocks_Dataset
2020-09-18,AAPL,Apple Inc.,Technology,71.8,72.49,71.13,72.09,9907164,Kaggle_TechStocks_Dataset
2020-09-21,AAPL,Apple Inc.,Technology,72.12,72.29,71.43,72.02,8683822,Kaggle_TechStocks_Dataset
2020-09-22,AAPL,Apple Inc.,Technology,71.09,71.48,69.97,70.94,41537805,Kaggle_TechStocks_Dataset
2020-09-23,AAPL,Apple Inc.,Technology,68.71,69.69,68.61,69.03,3053845,Kaggle_TechStocks_Dataset
2020-09-24,AAPL,Apple Inc.,Technology,68.8,69.54,67.66,68.5,21539960,Kaggle_TechStocks_Dataset
2020-09-25,AAPL,Apple Inc.,Technology,69.27,70.51,68.28,69.58,9241979,Kaggle_TechStocks_Dataset
2020-09-28,AAPL,Apple Inc.,Technology,69.9,70.76,69.51,69.87,44087180,Kaggle_TechStocks_Dataset
2020-09-29,AAPL,Apple Inc.,Technology,68.46,68.85,67.32,68.32,28294985,Kaggle_TechStocks_Dataset
2020-09-30,AAPL,Apple Inc.,Technology,68.8,69.71,67.74,68.55,12337651,Kaggle_TechStocks_Dataset
2020-10-01,AAPL,Apple Inc.,Technology,69.2,69.74,68.57,69.05,25618937,Kaggle_TechStocks_Dataset
2020-10-02,AAPL,Apple Inc.,Technology,68.18,69.3,67.04,67.97,36842831,Kaggle_TechStocks_Dataset
2020-10-05,AAPL,Apple Inc.,Technology,68.07,69.07,66.89,68.18,47947782,Kaggle_TechStocks_Dataset
2020-10-06,AAPL,Apple Inc.,Technology,68.48,68.5,67.39,68.27,11801854,Kaggle_TechStocks_Dataset
2020-10-07,AAPL,Apple Inc.,Technology,66.61,67.82,66.75,66.89,44422906,Kaggle_TechStocks_Dataset
2020-10-08,AAPL,Apple Inc.,Technology,67.61,67.82,66.81,67.34,46780901,Kaggle_TechStocks_Dataset
2020-10-09,AAPL,Apple Inc.,Technology,68.07,69.0,67.55,68.04,45904606,Kaggle_TechStocks_Dataset
2020-10-12,AAPL,Apple Inc.,Technology,69.61,69.55,68.84,69.39,32135303,Kaggle_TechStocks_Dataset
2020-10-13,AAPL,Apple Inc.,Technology,70.7,71.04,69.58,70.73,31861212,Kaggle_TechStocks_Dataset
2020-10-14,AAPL,Apple Inc.,Technology,69.1,70.19,68.17,69.0,20757321,Kaggle_TechStocks_Dataset
2020-10-15,AAPL,Apple Inc.,Technology,67.88,68.22,67.47,67.86,37867496,Kaggle_TechStocks_Dataset
2020-10-16,AAPL,Apple Inc.,Technology,68.67,69.67,67.27,68.51,27033406,Kaggle_TechStocks_Dataset
2020-10-19,AAPL,Apple Inc.,Technology,68.87,69.6,68.14,69.16,34194465,Kaggle_TechStocks_Dataset
2020-10-20,AAPL,Apple Inc.,Technology,69.51,70.74,68.79,69.82,21994437,Kaggle_TechStocks_Dataset
2020-10-21,AAPL,Apple Inc.,Technology,74.49,75.74,73.8,74.68,36843326,Kaggle_TechStocks_Dataset
2020-10-22,AAPL,Apple Inc.,Technology,75.21,76.28,75.37,75.47,41399104,Kaggle_TechStocks_Dataset
2020-10-23,AAPL,Apple Inc.,Technology,77.33,77.56,75.6,77.04,8175376,Kaggle_TechStocks_Dataset
2020-10-26,AAPL,Apple Inc.,Technology,78.17,78.79,77.59,78.39,41813556,Kaggle_TechStocks_Dataset
2020-10-27,AAPL,Apple Inc.,Technology,79.71,79.46,78.01,79.33,27474530,Kaggle_TechStocks_Dataset
2020-10-28,AAPL,Apple Inc.,Technology,78.77,79.43,78.78,78.9,42388629,Kaggle_TechStocks_Dataset
2020-10-29,AAPL,Apple Inc.,Technology,79.75,81.07,78.57,80.0,22133783,Kaggle_TechStocks_Dataset
2020-10-30,AAPL,Apple Inc.,Technology,79.14,80.4,77.94,78.91,19572983,Kaggle_TechStocks_Dataset
2020-11-02,AAPL,Apple Inc.,Technology,78.72,79.98,78.13,78.6,45837975,Kaggle_TechStocks_Dataset
2020-11-03,AAPL,Apple Inc.,Technology,77.94,79.15,77.42,77.94,13307294,Kaggle_TechStocks_Dataset
2020-11-04,AAPL,Apple Inc.,Technology,78.12,79.33,77.15,78.08,42366403,Kaggle_TechStocks_Dataset
2020-11-05,AAPL,Apple Inc.,Technology,81.54,82.47,80.27,81.36,24717008,Kaggle_TechStocks_Dataset
2020-11-06,AAPL,Apple Inc.,Technology,78.44,79.12,77.67,78.65,26190676,Kaggle_TechStocks_Dataset
2020-11-09,AAPL,Apple Inc.,Technology,80.05,81.1,78.46,79.65,16114945,Kaggle_TechStocks_Dataset
2020-11-10,AAPL,Apple Inc.,Technology,77.73,78.42,76.11,77.36,29079067,Kaggle_TechStocks_Dataset
2020-11-11,AAPL,Apple Inc.,Technology,76.85,77.62,75.9,76.73,16935348,Kaggle_TechStocks_Dataset
2020-11-12,AAPL,Apple Inc.,Technology,78.02,78.5,77.09,78.26,2924201,Kaggle_TechStocks_Dataset
2020-11-13,AAPL,Apple Inc.,Technology,78.51,79.11,77.23,78.37,14327931,Kaggle_TechStocks_Dataset
